"Day_Number","DTRAD","Energy"
1,15.1105640048661,3399.87690109487
2,14.4771573773777,3257.36040990997
3,15.0592798782413,3388.33797260429
4,15.8217801836706,3559.90054132588
5,15.020148728401,3379.53346389022
6,14.4821077304953,3258.47423936143
7,14.4821077304953,3258.47423936143
8,14.7399288888345,3316.48399998777
9,15.0098858214201,3377.22430981953
10,15.9481711152967,3588.33850094176
11,15.315805870375,3446.05632083436
12,15.315805870375,3446.05632083436
13,14.4821077304953,3258.47423936143
14,15.990138506142,3597.78116388194
15,16.3400300352986,3676.50675794218
16,15.3880850949145,3462.31914635577
17,16.2743625276247,3661.73156871555
18,15.8552732565774,3567.43648272991
19,16.3709155732559,3683.45600398259
20,13.6565583854837,3072.72563673384
21,13.6565583854837,3072.72563673384
22,14.3965115850567,3239.21510663775
23,16.8726569985798,3796.34782468046
24,15.1696237924711,3413.165353306
25,14.5549606592979,3274.86614834202
26,14.3716537935093,3233.62210353959
27,14.3716537935093,3233.62210353959
28,14.2842925309623,3213.96581946652
29,12.298040957232,2767.05921537719
30,15.0990122010755,3397.27774524198
31,15.1175207199393,3401.44216198634
32,14.3716537935093,3233.62210353959
33,15.7642568071185,3546.95778160165
34,15.8895938173862,3575.15860891189
35,15.608650243278,3511.94630473755
36,15.608650243278,3511.94630473755
37,15.5666828524328,3502.50364179737
38,14.921711882362,3357.38517353144
39,15.8592797110927,3568.33793499586
40,15.8402949719303,3564.06636868432
41,16.2094187544924,3647.1192197608
42,16.2094187544924,3647.1192197608
43,16.347227995219,3678.12629892428
44,16.2741338215692,3661.68010985306
45,18.7293201479032,4214.09703327823
46,19.155910378977,4310.07983526983
47,17.7706745486841,3998.40177345392
48,17.2924302786664,3890.79681269995
49,16.6841733462172,3753.93900289888
50,16.6841733462172,3753.93900289888
51,16.7236644242042,3762.82449544594
52,17.4790238612254,3932.78036877572
53,14.3213032992941,3222.29324234118
54,15.7806574832655,3550.64793373473
55,13.8950223377223,3126.38002598751
56,14.871037470726,3345.98343091334
57,15.4645720112942,3479.5287025412
58,16.1162944623167,3626.16625402126
59,17.2239834580281,3875.39627805633
60,17.2239834580281,3875.39627805633
61,17.6329159666021,3967.40609248548
62,16.3658489279863,3682.31600879692
63,16.1358420911481,3630.56447050833
64,14.1269208500135,3178.55719125304
65,14.1269208500135,3178.55719125304
66,17.7676649240147,3997.72460790331
67,16.9688525072118,3817.99181412267
68,16.8001725399187,3780.03882148172
69,16.9728145724784,3818.88327880765
70,16.7111984631412,3760.01965420676
71,15.4207357499803,3469.66554374556
72,15.2790300774945,3437.78176743627
73,15.4663583277375,3479.93062374094
74,15.4663583277375,3479.93062374094
75,15.4402981902025,3474.06709279557
76,18.2776075719728,4112.46170369388
77,18.9200388682769,4257.00874536231
78,11.4938614496727,2586.11882617635
79,18.0625156588734,4064.06602324651
80,18.2713237693247,4111.04784809806
81,14.7907430645566,3327.91718952523
82,13.0203624608584,2929.58155369313
83,17.677143503042,3977.35728818444
84,18.9506067582093,4263.8865205971
85,18.9506067582093,4263.8865205971
86,19.2060913677763,4321.37055774967
87,16.9464538259847,3812.95211084656
88,19.4031891021634,4365.71754798676
89,19.511166726291,4390.01251341548
90,20.8093505635389,4682.10387679625
91,19.9348301687409,4485.33678796671
92,19.8322791180295,4462.26280155664
93,20.1626799463952,4536.60298793892
94,19.0513864224165,4286.56194504371
95,19.9736755210133,4494.076992228
96,20.0336940186114,4507.58115418757
97,20.0785693898929,4517.67811272591
98,20.0785693898929,4517.67811272591
99,20.7063379404478,4658.92603660076
100,20.5869608154073,4632.06618346665
101,20.5869608154073,4632.06618346665
102,20.2054725525434,4546.23132432226
103,20.467749035514,4605.24353299066
104,19.8206232788585,4459.64023774315
