Day_Number,	DTRAD,		Energy
53,		14.8876099644,	3349.7122419872
54,		14.4576358954,	3252.9680764555
55,		16.8084353766,	3781.897959739
56,		16.9771583628,	3819.8606316277
57,		15.8894420866,	3575.1244694947
58,		15.5857983465,	3506.8046279595
59,		16.1365032661,	3630.7132348787
60,		16.1365032661,	3630.7132348787
61,		16.1368968661,	3630.8017948625
62,		16.2082109569,	3646.8474652969
63,		14.3828008195,	3236.1301843885
64,		12.2369265653,	2753.3084772002
65,		12.2369265653,	2753.3084772002
66,		17.8879480265,	4024.7883059526
67,		16.0850787261,	3619.1427133634
68,		14.6313002054,	3292.0425462115
69,		19.285259316,	4339.1833461077
70,		18.1421026878,	4081.9731047517
71,		13.3808053552,	3010.681204928
72,		13.2319165005,	2977.1812126141
73,		13.7467796574,	3093.02542291
74,		13.7467796574,	3093.02542291
75,		13.424336073,	3020.4756164335
76,		19.0796056103,	4292.9112623088
77,		18.0423073671,	4059.5191575934
78,		14.4302775425,	3246.8124470733
79,		15.626500999,	3515.962724771
80,		16.4429785801,	3699.6701805268
81,		12.8620261907,	2893.9558929175
82,		13.6969977355,	3081.8244904919
83,		17.4140079263,	3918.1517834083
84,		18.2387557696,	4103.7200481543
85,		18.2387557696,	4103.7200481543
86,		19.0533958285,	4287.0140614069
87,		15.3569960356,	3455.3241080135
88,		18.8619186047,	4243.9316860567
89,		19.1056188465,	4298.7642404685
90,		20.887113242,	4699.6004794558
91,		20.5882289318,	4632.351509653
92,		20.6887365676,	4654.9657277161
93,		19.8029796629,	4455.6704241591
94,		17.7146060956,	3985.7863715112
95,		18.9853213165,	4271.6972962226
96,		19.4994782213,	4387.3825997894
97,	    19.3566995523,	4355.2573992638
98,	    19.3566995523,	4355.2573992638
99,	    19.6060226255,	4411.3550907325
100,	19.865913737,	4469.8305908296
101,	19.865913737,	4469.8305908296
102,	19.5681650036,	4402.8371258154
103,	19.2950630411,	4341.389184249
104,	19.9972302069,	4499.3767965473
105,	20.3829781108,	4586.1700749297
106,	20.2371365301,	4553.3557192754
107,	20.0214068734,	4504.8165465069
108,	19.9950217505,	4498.8798938649
109,	18.8155246692,	4233.4930505726
110,	18.9542526842,	4264.7068539386
111,	18.9542526842,	4264.7068539386
112,	18.8655768775,	4244.7547974451
113,	18.9747934448,	4269.3285250728
114,	20.4833529973,	4608.754424387
115,	21.281648688,	4788.3709548038
116,	20.362503388,	4581.5632623057
117,	20.6143220648,	4638.222464571
118,	20.6931609365,	4655.9612107149
119,	19.7878509178,	4452.2664565063
120,	20.4562746249,	4602.6617906053
121,	19.1557247344,	4310.038065243
122,	19.5400386148,	4396.5086883255
123,	18.6042972921,	4185.9668907172
124,	18.6042972921,	4185.9668907172
125,	17.1320843414,	3854.718976823
126,	19.1149207077,	4300.8571592304
127,	19.6310286051,	4416.9814361556
128,	18.9716488175,	4268.6209839426
129,	19.6435267184,	4419.7935116377
130,	20.4031003449,	4590.6975776037
131,	20.4134823348,	4593.0335253217
132,	19.62077922,	4414.6753245066
133,	20.1378510811,	4531.0164932441
134,	20.286836351,	4564.5381789786
135,	20.0310194487,	4506.9793759593
136,	20.2566598506,	4557.7484663893
137,	20.2557653852,	4557.5472116783
138,	17.8797701622,	4022.948286495
139,	21.0453096016,	4735.1946603529
140,	21.0453096016,	4735.1946603529
141,	20.114972385,	4525.8687866231
142,	20.237878525,	4553.5226681277
143,	14.8292273959,	3336.5761640702
144,	18.4048892089,	4141.1000719973
145,	15.4248232597,	3470.5852334329
146,	19.8507204888,	4466.4121099762
147,	17.9136729002,	4030.5764025467
148,	18.032673839,	4057.3516137854
149,	18.4741263473,	4156.6784281439
150,	20.6799120409,	4652.9802092017
151,	18.3069046501,	4119.0535462658
152,	20.564531205,	4627.0195211144
153,	19.4700823456,	4380.7685277641
154,	14.1991812525,	3194.81578182
155,	17.3021874814,	3892.9921833252
156,	19.6665991688,	4424.9848129861
157,	19.6665991688,	4424.9848129861
158,	18.555119159,	4174.9018107832
159,	18.7631542387,	4221.7097037069
160,	20.4250461882,	4595.6353923409
161,	20.0632568124,	4514.2327827896
162,	20.5909919291,	4632.9731840365
163,	19.6564742652,	4422.7067096789
164,	15.9157168052,	3581.03628118
165,	16.4466335993,	3700.4925598525
166,	18.332872483,	4124.8963086862
167,	18.9264345916,	4258.4477831187
168,	20.0006280664,	4500.1413149442
169,	20.8143484823,	4683.228408514
170,	20.0732260354,	4516.4758579664
171,	15.8024642316,	3555.5544521131
172,	16.8685155243,	3795.415992964
173,	16.1359143334,	3630.5807250235
174,	17.7588078344,	3995.7317627358
175,	19.7126558314,	4435.3475620736
176,	16.8107561461,	3782.4201328664
177,	18.7974036823,	4229.4158285152
178,	18.7103697123,	4209.8331852636
179,	18.7103697123,	4209.8331852636
180,	18.4253574839,	4145.7054338865
181,	20.3141366321,	4570.6807422132
182,	16.5401073297,	3721.5241491911
183,	15.8646518029,	3569.5466556471
184,	13.7869976935,	3102.0744810333
185,	15.4397165719,	3473.936228678
186,	15.4397165719,	3473.936228678
187,	15.4375037252,	3473.4383381775
188,	15.1874932734,	3417.1859865223
189,	18.6560821737,	4197.6184890714
190,	17.3443307328,	3902.4744148727
191,	19.5460169016,	4397.8538028549
192,	18.3961548515,	4139.134841596
193,	19.3653437427,	4357.2023421054
194,	20.1689058152,	4538.0038084133
195,	20.1689058152,	4538.0038084133
196,	19.4107379331,	4367.4160349393
197,	19.6573641839,	4422.906941374
198,	20.7351568723,	4665.4102962781
199,	18.1520832445,	4084.2187300184
200,	15.8195274466,	3559.3936754801
201,	15.5462801232,	3497.9130277216
202,	15.7540208856,	3544.6546992574
203,	14.727793426,	3313.7535208442
204,	18.172871748,	4088.8961433014
205,	18.0243372826,	4055.4758885773
206,	17.0936946313,	3846.081292041
207,	16.7326630705,	3764.8491908575
208,	16.7326630705,	3764.8491908575
209,	15.3408929004,	3451.7009025852
210,	15.2179040891,	3424.0284200581
211,	11.8990584391,	2677.2881487931
212,	12.3804766113,	2785.6072375424
213,	12.3703289693,	2783.3240180899
214,	12.7040910589,	2858.420488256
215,	11.9826723319,	2696.1012746782
216,	11.7157159387,	2636.0360862146
217,	12.9089518531,	2904.5141669415
218,	11.5452823608,	2597.6885311797
219,	11.5452823608,	2597.6885311797
220,	12.3643509605,	2781.9789661083
221,	13.2442160337,	2979.948607575
222,	12.5929097713,	2833.4046985497
223,	15.9256078084,	3583.2617568859
224,	12.5096445804,	2814.6700305992
225,	12.5096445804,	2814.6700305992
226,	14.2886383197,	3214.943621941
227,	12.1687836316,	2737.9763170991
228,	12.1687836316,	2737.9763170991
229,	12.7040910589,	2858.420488256
230,	12.5946881401,	2833.8048315315
231,	12.3398518386,	2776.466663682
232,	12.6248716344,	2840.5961177338
233,	12.2085370307,	2746.9208319048
234,	12.3503928016,	2778.8383803493
235,	11.8807070622,	2673.1590890046
236,	11.789482826,	2652.6336358417
237,	12.9298179239,	2909.2090328699
238,	13.5542465263,	3049.7054684249
239,	12.5544670365,	2824.755083204
240,	13.4441666032,	3024.9374857169
241,	13.4110901825,	3017.4952910534
242,	12.2149247939,	2748.3580786274
243,	11.7409716886,	2641.7186299239
244,	13.82709646,	3111.0967034908
245,	13.4346036678,	3022.7858252463
246,	14.9465534371,	3362.9745233558
247,	12.9927559417,	2923.3700868754
248,	12.5929097713,	2833.4046985497
249,	15.1883569884,	3417.3803223795
250,	14.3737485443,	3234.0934224629
251,	11.6541756653,	2622.1895246878
252,	12.9694717487,	2918.1311434533
253,	13.1176351321,	2951.4679047165
254,	13.2009115217,	2970.2050923924
255,	14.9718915522,	3368.6755992389
256,	12.1163500023,	2726.1787505163
257,	12.3733334738,	2784.0000316072
258,	13.7420093283,	3091.9520988603
259,	14.1488790279,	3183.4977812724
260,	11.6893323876,	2630.0997871998
261,	13.4141391625,	3018.181311559
262,	11.9895234335,	2697.6427725485
263,	12.0623774881,	2714.0349348157
264,	13.1413470716,	2956.803091111
265,	12.9085809762,	2904.4307196499
266,	11.2753801922,	2536.960543254
267,	13.2090346512,	2972.0327965091
268,	13.2933042163,	2990.9934486667
269,	13.0030891928,	2925.6950683899
270,	12.9927559417,	2923.3700868754
271,	12.6925197873,	2855.8169521422
272,	12.9743303655,	2919.2243322479
273,	13.246741874,	2980.5169216578
274,	13.4097570192,	3017.1953293168
275,	12.60522175,	2836.174893744
276,	13.3733437727,	3009.002348859
277,	13.849655993,	3116.1725984187
278,	14.1857922861,	3191.8032643733
279,	13.1774442439,	2964.9249548812
280,	13.4593636441,	3028.3568199126
281,	12.4610462462,	2803.7354053871
282,	11.7531605878,	2644.4611322476
283,	13.3828037952,	3011.1308539179
284,	14.6708151467,	3300.9334080063
285,	15.9072483609,	3579.130881192
286,	14.6932625951,	3305.9840838964
287,    12.7254243093,	2863.2204695906
288, 	15.1631495567,	3411.708650254
289,	14.5042958692,	3263.4665705763
290,	15.6009845294,	3510.2215191096
291,	15.8609683816,	3568.7178858681
292,	15.7844684927,	3551.5054108641
293,	13.1332264615,	2954.9759538459
294,	14.9102444846,	3354.8050090366
295,	14.8470654947,	3340.5897363169
296,	15.9413771014,	3586.8098478068
297,	13.8017850295,	3105.4016316373
298,	15.5057239796,	3488.7878954115
299,	13.3211047335,	2997.2485650383
300,	14.053084952,	3161.9441142006
301,	14.8301834946,	3336.7912862928
302,	13.4297349361,	3021.6903606268
303,	13.7581347327,	3095.5803148483
304,	15.4689049731,	3480.5036189372
305,	15.6825888161,	3528.5824836317
306,	14.1988027066,	3194.730608984
307,	16.1768901719,	3639.8002886773
308,	15.2429485756,	3429.663429499
309,	14.0230351422,	3155.1829069907
310,	15.3647159009,	3457.0610777038
311,	12.0400810058,	2709.0182262968
312,	15.6753441739,	3526.9524391238
313,	15.6938820235,	3531.123455294
314,	15.6938820235,	3531.123455294
315,	15.7792466391,	3550.3304937913
316,	15.7792466391,	3550.3304937913
317,	13.5033171204,	3038.2463520962
318,	16.7279113657,	3763.7800572823
319,	14.4223605841,	3245.0311314279
320,	15.239337362,	3428.8509064448
321,	14.0882173263,	3169.848898407
322,	13.3793922023,	3010.3632455285
323,	15.6224464548,	3515.0504523327
324,	15.6224464548,	3515.0504523327
325,	13.9159799689,	3131.0954929944
326,	15.3464497461,	3452.9511928811
327,	14.9060270255,	3353.8560807479
328,	14.8271562853,	3336.1101641911
329,	13.1337652342,	2955.0971776842
330,	14.3144085778,	3220.7419300034
331,	14.1302041366,	3179.2959307376
332,	13.209486199,	2972.1343947711
333,	14.0600043851,	3163.5009866421
334,	14.8340764183,	3337.6671941269
335,	13.7302359158,	3089.3030810654
336,	14.9146107156,	3355.7874110164
337,	17.0257299446,	3830.7892375418
338,	16.3350311272,	3675.3820036265
339,	16.3350311272,	3675.3820036265
340,	15.0416045821,	3384.3610309823
341,	15.8654155571,	3569.7185003384
342,	13.3253002299,	2998.192551723
343,	14.5220956578,	3267.4715230002
344,	13.5928965458,	3058.4017228025
345,	13.0679282412,	2940.2838542673
346,	12.441946242,	2799.4379044521
347,	13.3985031505,	3014.6632088647
348,	12.4239124005,	2795.3802901177
349,	13.0358385402,	2933.0636715365
350,	13.5141675847,	3040.6877065621
351,	12.1570789818,	2735.3427708951
352,	12.8667338676,	2895.0151202077
353,	13.0290699567,	2931.5407402633
354,	12.655503422,	2847.4882699508
355,	12.7385009067,	2866.1627040175
356,	13.8424228193,	3114.5451343382
357,	13.4461157239,	3025.3760378817
358,	13.1111342285,	2950.0052014068
359,	13.6271780997,	3066.1150724259
360,	12.3701824162,	2783.2910436467
361,	12.6936526489,	2856.0718459966
362,	12.6936526489,	2856.0718459966
363,	12.1949137357,	2743.8555905355
364,	13.1799379878,	2965.4860472631
365,	13.7445131971,	3092.5154693549
