"neurons.1","neurons.DBT","neurons.DPT","neurons.RH","neurons.1.1","neurons.2","neurons.3","neurons.4","neurons.5","neurons.6","net.result"
1,28.8,14.5,42,1,1,0.999999995389347,0.0000000000000000181398244470508,1,1,0.99997793179768
1,28.2,13.3,40,1,1,0.999999988244728,0.000000000000000084153649492503,1,1,0.999977931797322
1,28.2,15.1,45,1,1,0.999999991043145,0.00000000000000000742369523654186,1,1,0.999977931797462
1,28.6,13.8,40,1,1,0.99999999436486,0.0000000000000000532864071463708,1,1,0.999977931797628
1,31.6,6.2,20,1,0.999999995932827,0.999999995334545,0.000000000000186652376812457,1,1,0.99997793179739
1,31,12,31,1,0.999999999999999,0.999999999451244,0.000000000000000549876322962495,1,1,0.999977931797883
1,24.1,20.1,79,1,1,0.999977070509009,0.000000000000000000000141218238944846,1,1,0.999977930649124
1,30.8,12.2,32,1,1,0.999999999315284,0.000000000000000408251107421179,1,1,0.999977931797876
1,31.6,10.1,27,1,0.999999999999791,0.999999999221036,0.00000000000000334023990610363,1,1,0.999977931797872
1,28.4,17,50,1,1,0.999999994492637,0.000000000000000000557696553084761,1,1,0.999977931797635
1,25.1,19.4,71,1,1,0.999997819651308,0.00000000000000000000143955681352863,1,1,0.999977931688676
1,32.4,12.7,30,1,0.999999999999995,0.999999999910591,0.000000000000000246642966894067,1,1,0.999977931797906
1,33.6,11.3,26,1,0.999999999997538,0.999999999945624,0.000000000000000845268676683297,1,1,0.999977931797908
1,34.4,10.6,24,1,0.999999999939993,0.9999999999621,0.00000000000000139420844980452,1,1,0.999977931797905
1,30.3,14.7,39,1,1,0.999999999367547,0.0000000000000000183631207103073,1,1,0.999977931797879
1,34.5,11.5,25,1,0.999999999983857,0.999999999980451,0.000000000000000634337008832422,1,1,0.999977931797909
1,35.5,13.1,26,1,0.999999999993125,0.999999999997024,0.000000000000000125098505928718,1,1,0.99997793179791
1,35.4,5,15,1,0.999974288136371,0.999999999607359,0.000000000000179961298338944,1,1,0.999977929986007
1,33,3.9,16,1,0.999998088128773,0.999999993642072,0.000000000000856215139735054,1,1,0.99997793166287
1,32.7,3.2,16,1,0.999998490008374,0.999999984619937,0.00000000000139718178452133,1,1,0.999977931690737
1,34.8,8.1,20,1,0.999999981239492,0.999999999888909,0.0000000000000124682657809178,1,1,0.999977931796583
1,33.2,12.6,29,1,0.999999999999971,0.99999999995381,0.000000000000000224582990552512,1,1,0.999977931797908
1,34.2,9.3,22,1,0.999999999093878,0.999999999914513,0.00000000000000537213212266498,1,1,0.999977931797843
1,36.4,10.5,21,1,0.999999988485592,0.999999999994666,0.00000000000000121124979246123,1,1,0.999977931797099
1,35,10.6,21,1,0.999999993040694,0.999999999989429,0.00000000000000259719788196609,1,1,0.99997793179742
1,34.6,11,24,1,0.999999999930596,0.999999999977486,0.00000000000000103667004261264,1,1,0.999977931797905
1,36.8,9.6,19,1,0.999999766605988,0.999999999994292,0.00000000000000275489695370714,1,1,0.999977931781464
1,36.6,9.8,20,1,0.99999995041051,0.999999999992877,0.00000000000000204535035464489,1,1,0.999977931794416
1,34.8,9.8,22,1,0.999999998761883,0.999999999963374,0.00000000000000303081958097187,1,1,0.999977931797822
1,34,7.2,14,1,0.999897876968087,0.999999999933372,0.000000000000206165020707343,1,1,0.999977924600544
1,33.6,5.2,17,1,0.999999334823072,0.999999998353969,0.000000000000243608789172265,1,1,0.999977931750956
1,36,6.3,16,1,0.999991054207182,0.999999999898347,0.0000000000000512022644212566,1,1,0.999977931167523
1,37,9.9,20,1,0.999999941415625,0.999999999994863,0.00000000000000155191621749625,1,1,0.999977931793782
1,38,7.3,15,1,0.99989817097604,0.999999999991296,0.0000000000000141835460120498,1,1,0.999977924621271
1,33.9,15.1,33,1,1,0.999999999991504,0.0000000000000000133101531711887,1,1,0.99997793179791
1,34.6,12,25,1,0.999999999981689,0.999999999988909,0.000000000000000477593779037672,1,1,0.999977931797909
1,35,13.1,27,1,0.999999999998739,0.999999999994609,0.000000000000000120889377219221,1,1,0.99997793179791
1,34.4,10.6,24,1,0.999999999939993,0.9999999999621,0.00000000000000139420844980452,1,1,0.999977931797905
1,34.7,5.9,17,1,0.999998865551625,0.999999999565822,0.00000000000009408114662848,1,1,0.999977931717949
1,34.4,1.3,12,1,0.999148616641338,0.999999988229484,0.00000000000449831732805202,1,1,0.999977871722214
1,34,3.3,15,1,0.999988710453097,0.999999995108212,0.000000000000870877938815246,1,1,0.999977931002123
1,35,5.5,16,1,0.999994651492034,0.999999999596493,0.000000000000130934395149524,1,1,0.999977931421
1,35.3,5.8,16,1,0.999993692245098,0.999999999749031,0.0000000000000961481232027355,1,1,0.999977931353412
1,35.9,11.7,23,1,0.999999999422763,0.99999999999612,0.000000000000000492616900166469,1,1,0.99997793179787
1,34.4,19.9,43,1,1,0.999999999998906,0.0000000000000000000451108457626099,1,1,0.999977931797911
1,35.2,15.6,31,1,0.999999999999995,0.999999999998687,0.00000000000000000956135723914128,1,1,0.999977931797911
1,34.6,16.3,34,1,1,0.999999999997697,0.00000000000000000373996321380042,1,1,0.999977931797911
1,34.6,13.4,28,1,0.999999999999747,0.999999999993205,0.0000000000000000962811585274897,1,1,0.99997793179791
1,32.4,13.6,32,1,1,0.999999999933271,0.0000000000000000860868710685536,1,1,0.999977931797908
1,36.2,14.4,27,1,0.999999999997517,0.999999999999272,0.0000000000000000335967394099876,1,1,0.999977931797911
1,36.5,12.9,25,1,0.999999999956414,0.999999999998478,0.000000000000000106186530739421,1,1,0.999977931797908
1,37,14.8,27,1,0.99999999999641,0.999999999999691,0.0000000000000000176693150517825,1,1,0.999977931797911
1,37.2,8.6,18,1,0.99999897329187,0.999999999990744,0.00000000000000474708574817334,1,1,0.999977931725562
1,37.6,7.7,16,1,0.999979189304595,0.999999999990093,0.0000000000000107968910690632,1,1,0.999977930331417
1,38,7.2,15,1,0.999899962705947,0.99999999999036,0.0000000000000148396648000242,1,1,0.999977924747567
1,38.2,7,15,1,0.999895988769181,0.999999999989432,0.0000000000000144734659886278,1,1,0.999977924467449
1,37.5,11.6,21,1,0.999999978917065,0.999999999999065,0.000000000000000390378856112118,1,1,0.999977931796425
1,38,13.6,24,1,0.999999999609473,0.999999999999766,0.000000000000000044958116221918,1,1,0.999977931797883
1,36.9,13.5,25,1,0.999999999943729,0.999999999999341,0.0000000000000000642648719838921,1,1,0.999977931797907
1,37.6,14.4,25,1,0.999999999914321,0.999999999999823,0.0000000000000000285604421428259,1,1,0.999977931797905
1,36.4,13.9,26,1,0.999999999988921,0.999999999999207,0.0000000000000000518265843005231,1,1,0.99997793179791
1,33,12.7,29,1,0.999999999999973,0.999999999953336,0.000000000000000240917127383627,1,1,0.999977931797908
1,37,3.7,13,1,0.999241654736033,0.999999999677732,0.000000000000245373314363152,1,1,0.999977878295671
1,37.6,6.4,15,1,0.999925216158321,0.999999999972682,0.0000000000000268409828756245,1,1,0.99997792652757
1,38,10.7,19,1,0.999999556442923,0.999999999999054,0.000000000000000838094301840431,1,1,0.999977931766655
1,29.2,17.3,49,1,1,0.999999998108952,0.000000000000000000423788344290262,1,1,0.999977931797816
1,34.1,16.5,34,1,1,0.999999999997514,0.00000000000000000455946623583405,1,1,0.999977931797911
1,30.4,20.2,54,1,1,0.99999999976119,0.0000000000000000000113732272462107,1,1,0.999977931797899
1,33.4,6.1,18,1,0.999999839966756,0.999999998995154,0.000000000000131789381514462,1,1,0.999977931786583
1,33.4,11.5,26,1,0.999999999997632,0.999999999950399,0.000000000000000866655149346801,1,1,0.999977931797908
1,33.6,15.8,34,1,1,0.999999999993271,0.00000000000000000835053115994535,1,1,0.99997793179791
1,32.6,17.2,40,1,1,0.999999999981496,0.00000000000000000113835989578568,1,1,0.99997793179791
1,32.4,18.8,45,1,1,0.99999999998065,0.000000000000000000123377336509531,1,1,0.99997793179791
1,34,14.7,31,1,0.999999999999997,0.999999999993542,0.0000000000000000287113410026651,1,1,0.99997793179791
1,29.4,15.7,43,1,1,0.999999998677982,0.00000000000000000539985874633349,1,1,0.999977931797845
1,34.8,15,31,1,0.999999999999996,0.999999999996967,0.0000000000000000157984809281056,1,1,0.999977931797911
1,29.6,19.2,54,1,1,0.999999998960777,0.0000000000000000000283659118389809,1,1,0.999977931797859
1,32.4,16.9,40,1,1,0.999999999971874,0.00000000000000000146328014532494,1,1,0.999977931797909
1,32.6,21.1,51,1,1,0.999999999989183,0.00000000000000000000560101769030631,1,1,0.99997793179791
1,34.6,17.9,37,1,1,0.99999999999885,0.00000000000000000068876558375156,1,1,0.999977931797911
1,34.2,13.6,29,1,0.99999999999995,0.999999999990513,0.0000000000000000802294368531495,1,1,0.99997793179791
1,35.6,14.4,28,1,0.999999999999561,0.999999999998604,0.0000000000000000343952278363806,1,1,0.999977931797911
1,37,11,21,1,0.999999984266826,0.999999999997715,0.000000000000000683356161876835,1,1,0.999977931796802
1,36.6,15.5,29,1,0.999999999999829,0.999999999999646,0.00000000000000000850406576076754,1,1,0.999977931797911
1,34.6,17.9,37,1,1,0.99999999999885,0.00000000000000000068876558375156,1,1,0.999977931797911
1,24.4,17.6,66,1,1,0.999995760260068,0.0000000000000000000244420105063836,1,1,0.999977931585501
1,33.5,23.3,55,1,1,0.999999999997584,0.000000000000000000000338735614106554,1,1,0.999977931797911
1,33.2,22.5,53,1,1,0.999999999996541,0.00000000000000000000110293147539164,1,1,0.999977931797911
1,34.4,20.9,45,1,1,0.999999999999263,0.0000000000000000000150490778039571,1,1,0.999977931797911
1,36,13.5,26,1,0.999999999991109,0.999999999998506,0.0000000000000000782293701747245,1,1,0.99997793179791
1,36.8,17.8,33,1,0.999999999999999,0.999999999999894,0.000000000000000000736269064211413,1,1,0.999977931797911
1,36,22.5,46,1,1,0.99999999999992,0.00000000000000000000209918979286648,1,1,0.999977931797911
1,29.6,22.2,64,1,1,0.999999998886549,0.000000000000000000000289552103328184,1,1,0.999977931797855
1,34,22.1,50,1,1,0.999999999998703,0.00000000000000000000219357684219212,1,1,0.999977931797911
1,31,23.1,63,1,1,0.9999999998521,0.000000000000000000000118645672285028,1,1,0.999977931797903
1,33.4,23,55,1,1,0.999999999996529,0.000000000000000000000411001787124092,1,1,0.999977931797911
1,35.6,20.3,41,1,1,0.999999999999802,0.0000000000000000000359187961851069,1,1,0.999977931797911
1,32,21,52,1,1,0.999999999977046,0.00000000000000000000599939246634493,1,1,0.99997793179791
1,30.4,20.2,54,1,1,0.99999999976119,0.0000000000000000000113732272462107,1,1,0.999977931797899
1,33,17.3,39,1,1,0.999999999990243,0.00000000000000000119280470353736,1,1,0.99997793179791
1,33.6,22,51,1,1,0.99999999999754,0.00000000000000000000209345243028505,1,1,0.999977931797911
1,32.2,18.9,45,1,1,0.999999999980452,0.00000000000000000013235068881661,1,1,0.99997793179791
1,29.2,21.1,62,1,1,0.999999997709097,0.00000000000000000000114392419282666,1,1,0.999977931797796
1,28.4,20.2,61,1,1,0.999999993419556,0.00000000000000000000376582559048143,1,1,0.999977931797581
1,28.2,21.6,67,1,1,0.999999988454151,0.000000000000000000000323523140270163,1,1,0.999977931797332
1,28,20.4,63,1,1,0.999999987433252,0.0000000000000000000022722883617818,1,1,0.999977931797281
1,28.6,21.4,65,1,1,0.999999993954138,0.000000000000000000000536169502618473,1,1,0.999977931797608
1,29.2,21.1,62,1,1,0.999999997709097,0.00000000000000000000114392419282666,1,1,0.999977931797796
1,29.8,18.7,52,1,1,0.999999999172855,0.0000000000000000000604284423442648,1,1,0.999977931797869
1,28.7,19.5,58,1,1,0.99999999555995,0.000000000000000000011447418071717,1,1,0.999977931797688
1,29.9,18.1,49,1,1,0.999999999436176,0.00000000000000000019705141455186,1,1,0.999977931797883
1,30.2,19.6,53,1,1,0.999999999639507,0.0000000000000000000231227035846572,1,1,0.999977931797893
1,30.4,18.6,49,1,1,0.99999999974448,0.000000000000000000117776324898183,1,1,0.999977931797898
1,32,19.5,47,1,1,0.999999999977824,0.0000000000000000000593802861056323,1,1,0.99997793179791
1,32.6,20.1,48,1,1,0.999999999988265,0.0000000000000000000231860741835821,1,1,0.99997793179791
1,31,19.2,49,1,1,0.999999999901154,0.000000000000000000063508539928598,1,1,0.999977931797906
1,32.9,18.9,46,1,1,0.999999999981952,0.0000000000000000000639855215768205,1,1,0.99997793179791
1,31,18.6,47,1,1,0.999999999902508,0.000000000000000000158871550230454,1,1,0.999977931797906
1,27.4,20,64,1,1,0.999999963772806,0.00000000000000000000278754303566014,1,1,0.999977931796096
1,27,19.6,64,1,1,0.999999931764582,0.00000000000000000000420764244755427,1,1,0.999977931794492
1,25.4,18.9,66,1,1,0.999999359020013,0.00000000000000000000762387912111585,1,1,0.999977931765798
1,27.7,20.7,66,1,1,0.999999971977854,0.000000000000000000000895721872985955,1,1,0.999977931796507
1,30.7,21.1,57,1,1,0.999999999793999,0.00000000000000000000241750611977509,1,1,0.9999779317979
1,31,19.8,52,1,1,0.999999999862909,0.0000000000000000000183835308720607,1,1,0.999977931797904
1,29.2,20.8,60,1,1,0.999999998336756,0.00000000000000000000249858105153533,1,1,0.999977931797828
1,28.4,19.8,60,1,1,0.999999992762114,0.00000000000000000000623169908558833,1,1,0.999977931797548
1,26.4,19.2,65,1,1,0.999999803292187,0.00000000000000000000516174997790805,1,1,0.999977931788056
1,25,19,69,1,1,0.999998145533358,0.00000000000000000000348521294311792,1,1,0.999977931705003
1,23.6,21.8,90,1,1,0.999832162162459,0.0000000000000000000000025076521012416,1,1,0.999977923387711
1,23.1,21.5,91,1,1,0.999587093779267,0.00000000000000000000000277537140736238,1,1,0.999977911101803
1,26.2,21.9,77,1,1,0.999999400576791,0.0000000000000000000000355137426441584,1,1,0.99997793176788
1,26.4,21.5,74,1,1,0.999999685080922,0.000000000000000000000099859875306326,1,1,0.999977931782133
1,24.1,21.1,83,1,1,0.999971087716347,0.0000000000000000000000247025234360976,1,1,0.999977930349371
1,24.7,22.3,87,1,1,0.999978781010549,0.00000000000000000000000279204912765332,1,1,0.999977930734824
1,24.6,23.1,91,1,1,0.999965285892951,0.000000000000000000000000566392071393896,1,1,0.999977930058682
1,24,22.3,90,1,1,0.999919536325896,0.00000000000000000000000158785473540415,1,1,0.99997792776635
1,25.4,21,77,1,1,0.999997644755827,0.0000000000000000000000846584291672553,1,1,0.999977931679914
1,25.4,20.4,74,1,1,0.999998301798941,0.000000000000000000000292464666688828,1,1,0.999977931712832
